Date,HomeTeam,AwayTeam,HomeGameScore,AwayGameScore,HomePointsScoredLast300Seconds,AwayPointsScoredLast300Seconds,HomePointsScoredLast120Seconds,AwayPointsScoredLast120Seconds,HomePointDifferential,HomeFGDifferential,HomeDRebDifferential,HomeORebDifferential,Home3FGDifferential,HomeBlocksDifferential,HomeStealsDifferential,HomeAssistsDifferential,HomeReboundsDifferential,HomeFreeThrowDifferential,HomeTurnoversDifferential,HomeFoulsDifferential,SecLeft,LambdaWID,PointsScoredRemaining_Home,PointsScoredRemaining_Away
2019-11-22,3,15,103,113,22,14,11,11,-10,-0.04539501999999995,-8,4,-0.058076230000000006,0,1,-10,-4,-5,-6,7,31,5,5,3
2019-12-23,23,7,103,96,15,10,4,6,7,-0.05416669999999996,-2,3,-0.1470588,0,1,-1,1,8,-6,-7,247,13,8,17
2019-11-29,2,1,104,97,7,11,0,4,7,0.0033259700000000114,4,2,0.025000000000000022,-1,-2,12,6,-7,-1,10,204,11,8,10
2020-03-10,13,2,97,100,9,6,6,3,-3,0.056395360000000005,5,-4,0.055555560000000004,1,0,-1,1,-7,5,3,186,11,5,4
2020-09-15,1,15,101,95,11,13,4,3,6,0.006468759999999962,-3,-3,0.0028735400000000078,3,2,-5,-6,-1,-1,-2,213,12,5,11
2020-01-10,12,9,96,91,15,6,7,2,5,0.07901013000000001,9,-2,0.06818181000000001,3,-3,-3,7,-7,8,0,282,14,13,9
2020-01-15,7,4,98,80,9,9,2,5,18,0.08308357,4,-4,-0.019607860000000032,1,4,0,0,16,-3,-10,92,8,2,4
2019-11-20,27,21,104,86,17,11,6,5,18,0.10858819999999997,11,-6,0.021978020000000043,-3,-2,7,5,-7,0,6,124,9,7,7
2020-09-07,7,12,103,106,6,15,4,8,-3,-0.08062169999999996,-8,6,-0.035560340000000024,-3,3,8,-2,-11,-5,4,187,11,4,7
2020-01-29,25,20,92,116,10,7,3,2,-24,-0.04117647000000002,-8,0,-0.19793322,-3,-4,-10,-8,-11,1,7,130,9,8,4
2020-02-05,27,11,105,116,13,15,2,7,-11,-0.07516800000000001,-5,0,-0.18018015999999998,-5,4,-5,-5,7,-5,0,180,11,14,2
2020-08-13,1,29,87,82,2,9,2,0,5,0.02796747999999999,4,-6,-0.14193550000000005,2,-2,1,-2,-9,4,2,131,9,3,4
2019-10-30,1,16,104,93,17,13,6,3,11,-0.0068922200000000045,3,0,0.11152880999999998,1,-1,4,3,-3,-4,0,203,11,12,12
2019-11-29,11,0,90,91,8,14,2,4,-1,-0.02489178999999997,-9,-1,-0.10608695000000001,3,4,4,-10,6,-12,-3,159,10,4,3
2019-10-28,23,28,92,95,9,16,2,9,-3,0.02454212,-7,-3,0.04166666000000002,-2,-1,3,-10,-14,-6,4,88,7,3,1
2020-01-07,27,24,93,88,10,15,3,5,5,-0.04254111999999999,1,9,0.0625,-1,-1,-1,10,7,2,3,242,13,6,13
2020-08-24,24,13,111,132,11,7,5,4,-21,-0.11108072999999996,-4,4,-0.007326010000000049,-7,2,-10,0,2,3,1,66,7,4,3
2019-11-25,16,28,116,111,14,12,6,6,5,-0.05471619999999999,-2,10,-0.15119048000000002,-2,2,-6,8,13,-8,-6,133,9,6,7
2020-08-07,18,29,118,101,12,13,8,7,17,0.03282826999999999,5,1,-0.03214285,6,-2,3,6,5,7,-4,33,5,0,0
2020-03-06,3,11,92,101,16,6,8,2,-9,-0.08860152999999998,-5,4,-0.12121211999999998,0,2,2,-1,-15,-3,10,256,13,10,7
2020-02-29,1,10,95,99,8,12,2,3,-4,-0.039191249999999955,0,-1,0.014285729999999996,-3,0,0,-1,10,-1,-4,135,9,9,5
2020-03-03,18,17,129,135,7,10,5,4,-6,-0.031578969999999984,0,2,-0.050653599999999965,0,2,5,2,8,-1,-6,77,7,5,4
2019-10-30,21,19,79,82,7,5,3,2,-3,0.019230760000000013,2,2,0.15000000000000002,-3,2,-4,4,-6,-1,-1,232,12,11,1
2020-08-06,16,15,120,111,13,8,6,0,9,0.09043656999999994,5,0,-0.07219251999999998,2,1,-3,5,9,-3,-6,122,9,10,5
2019-10-30,5,3,104,99,17,13,4,5,5,0.0708509,12,1,0.08184140000000001,1,-2,-2,13,3,9,-1,282,14,13,12
2020-08-06,23,11,103,90,10,10,6,2,13,0.02838826,6,6,-0.07874999999999999,-1,-1,6,12,1,1,0,279,14,11,9
2020-01-31,13,24,109,117,11,9,1,5,-8,-0.012144729999999992,10,11,-0.011982590000000015,1,-8,1,21,6,13,-1,228,12,10,10
2020-10-04,15,13,107,100,8,6,4,3,7,0.07245387000000003,0,-8,-0.00813008000000004,1,0,2,-8,-7,-7,2,91,8,8,4
2020-03-01,17,6,91,109,10,8,3,4,-18,-0.09239130000000001,-6,9,0.03502187000000001,-4,-2,-8,3,-4,0,1,84,7,0,2
2019-12-28,24,13,115,125,10,12,8,7,-10,-0.04124414999999998,-2,-2,0.07373272999999997,2,-2,-13,-4,0,7,-3,108,8,5,3
2020-01-02,5,4,106,108,6,15,3,5,-2,0.06671685999999993,6,-3,-0.012383909999999998,3,1,1,3,-8,3,6,4,1,0,1
2020-01-10,23,21,90,90,9,8,5,5,0,0.032380929999999974,2,-3,0.0025641000000000136,2,-2,5,-1,0,3,-1,116,8,8,4
2020-08-05,28,14,110,105,11,8,3,0,5,-0.008341040000000022,3,3,0.010256419999999988,1,-2,4,6,2,4,-2,220,12,14,10
2019-11-27,18,13,102,104,11,13,7,4,-2,-0.10192307,-2,5,0.11425063999999996,-1,-2,-5,3,5,3,-2,187,11,8,10
2019-12-01,19,1,103,110,8,15,8,6,-7,0.03341252,3,-8,-0.04585367000000001,0,2,-10,-5,15,1,-3,69,7,1,3
2019-11-04,2,18,135,125,14,8,7,2,10,0.037763340000000034,4,2,-0.016006100000000023,-2,-3,14,6,7,2,-8,0,1,0,0
2019-11-05,0,26,97,90,16,7,6,3,7,0.06655193000000004,9,-2,0.10477455999999999,-3,1,3,7,-10,4,5,255,13,11,10
2020-08-15,24,14,107,102,9,8,3,2,5,-0.05244124,-3,-3,-0.18095239999999996,1,5,-7,-6,14,-4,2,228,12,19,13
2020-02-01,24,28,120,99,15,7,8,2,21,0.10306077999999996,12,5,0.08571427000000004,0,-3,2,17,7,3,0,159,10,4,8
2019-12-11,9,19,106,111,18,14,6,8,-5,-0.06043956,-12,3,-0.19727049000000002,-2,5,2,-9,-1,-10,-3,12,3,6,1
2019-11-18,6,26,117,110,14,10,7,3,7,0.04166666000000002,1,-8,0.0813008,1,-2,10,-7,7,4,1,0,1,0,0
2020-08-08,7,28,92,96,4,8,0,0,-4,-0.03947368000000001,-1,-1,-0.15438595,1,3,-4,-2,6,-9,-4,255,13,13,9
2020-02-07,22,14,115,93,10,13,3,5,22,0.12272724999999995,10,1,0.31000000000000005,5,-2,10,11,-11,9,11,45,6,4,6
2019-11-25,16,28,122,118,14,13,6,7,4,-0.06860583000000003,-2,11,-0.16019954999999997,0,2,-8,9,17,-7,-8,3,1,0,0
2020-01-27,15,21,106,88,9,12,6,5,18,0.15052563000000002,6,-9,0.20571427000000003,4,-4,7,-3,3,4,2,205,11,7,4
2020-08-05,1,2,135,107,15,14,5,6,28,0.08063023999999996,8,-1,0.2364865,7,0,5,7,14,-2,1,136,9,14,8
2020-03-08,2,3,109,107,20,24,10,15,2,0.07608696999999998,19,0,0.013725469999999962,2,-10,-2,19,15,21,-5,0,1,1,0
2019-12-28,26,8,119,100,13,16,3,7,19,0.09082891999999992,12,-1,0.1451613,1,-2,6,11,-13,2,4,291,14,17,9
2019-10-23,21,5,83,85,5,14,3,9,-2,0.04926108999999995,-9,-2,0.01298701999999996,2,3,-1,-11,2,-2,4,18,4,2,0
2019-11-04,23,22,107,103,12,12,7,5,4,0.06435001999999995,6,-4,-0.03259260000000003,2,-5,4,2,1,0,0,104,8,7,6
2020-08-02,1,24,125,122,16,13,7,6,3,0.04545456000000003,4,-3,0.13658536,1,1,-6,1,14,3,-3,20,4,3,2
2020-03-11,0,19,103,109,18,10,9,5,-6,-0.09831226000000004,-5,6,-0.047619060000000046,-7,-6,-7,1,-7,4,2,253,13,15,9
2019-12-11,9,19,109,112,18,13,6,9,-3,-0.06043956,-12,3,-0.19727049000000002,-2,5,2,-9,0,-10,-2,7,2,3,0
2020-03-10,11,1,109,111,16,10,3,8,-2,0.05913980000000002,-1,-2,0.039952989999999966,4,-4,4,-3,-7,4,5,17,4,2,3
2019-11-10,20,16,119,121,22,19,16,9,-2,-0.07175955000000006,-13,0,0.011904770000000009,0,2,4,-13,-1,-7,0,0,1,0,0
2019-11-02,8,2,106,103,9,16,5,5,3,-0.017228469999999996,-2,-5,-0.02628433999999996,4,4,-3,-7,11,-6,-7,73,7,7,6
2020-01-04,5,20,102,116,9,11,5,2,-14,0.015691480000000035,0,-11,0.11133001999999997,-4,-2,-5,-11,-7,2,9,88,7,4,5
2020-01-15,13,21,103,105,7,12,4,7,-2,0.04636445,2,0,-0.020161299999999993,4,-3,11,2,-16,3,5,251,13,15,14
2019-11-25,27,22,91,96,7,9,3,4,-5,0.004545469999999996,-5,-4,-0.09290540000000003,2,-4,0,-9,1,-3,2,243,13,10,0
2019-11-08,11,8,112,106,10,14,4,4,6,0.06458392000000002,4,0,-0.12727272,4,0,-4,4,7,-3,-10,0,1,0,0
2019-10-30,25,4,103,114,14,13,10,6,-11,-0.08102983999999996,-4,0,-0.22093022,2,2,-4,-4,-2,-1,2,186,11,8,4
2020-02-20,22,2,99,101,8,12,4,3,-2,0.07237386999999995,2,-3,-0.14285713999999997,3,4,-4,-1,2,-1,-3,73,7,4,2
2020-02-08,11,18,110,115,9,16,2,7,-5,0.06819420000000004,0,-14,-0.045045060000000026,7,-3,-3,-14,8,-1,-2,75,7,7,9
2020-08-06,25,18,140,125,6,7,4,5,15,-0.035536270000000036,0,8,0.07308380000000003,0,7,-5,8,10,-9,-5,16,4,0,0
2020-01-13,11,22,96,95,9,9,2,3,1,-0.03705206999999999,-4,-1,0.19106702,1,-1,7,-5,4,-1,-3,36,5,5,0
2020-02-10,6,28,109,116,18,10,9,0,-7,-0.10852162999999998,-13,-6,-0.06907894999999997,0,2,-2,-19,5,-12,-9,232,12,10,7
2019-12-23,19,29,111,118,14,7,9,1,-7,0.00878024999999999,2,-7,0.10971787,3,-8,2,-5,-11,6,11,80,7,4,3
2019-11-07,26,20,121,110,13,13,9,6,11,0.03479860000000001,9,7,-0.02631578000000001,1,-1,6,16,-13,0,7,103,8,0,2
2020-01-31,18,14,136,94,13,7,6,4,42,0.06893113000000001,19,7,0.25454547,-4,1,16,26,0,6,3,209,11,3,4
2020-02-25,3,20,112,113,12,12,5,4,-1,-0.0012146699999999733,-3,4,-0.09629631,-2,-1,-4,1,-16,-2,3,139,9,10,11
2020-08-10,16,27,102,110,20,9,5,2,-8,-0.05694444999999998,-2,-1,0.025673959999999996,-1,-6,0,-3,11,5,-7,161,10,4,4
2019-12-06,26,25,100,100,16,11,11,2,0,0.00788530000000004,1,0,0.03340517999999998,2,1,6,1,-7,0,-2,0,1,0,0
2019-10-23,21,5,82,82,6,11,2,8,0,0.05210082999999999,-7,-2,0.027649800000000002,2,3,0,-9,0,-2,5,52,6,3,3
2019-11-16,3,2,90,94,9,14,4,4,-4,-0.13186812999999997,5,9,-0.043181810000000015,-6,-2,-18,14,25,4,-7,284,14,21,23
2019-12-11,17,28,112,123,17,10,10,6,-11,-0.13929877000000007,-7,4,-0.09128918999999996,-4,5,-6,-3,8,-4,-5,63,7,4,4
2019-12-22,13,7,104,128,9,13,2,5,-24,-0.019250939999999994,0,1,0.0010776000000000119,7,-6,-13,1,-8,11,6,0,1,0,0
2019-11-18,3,16,101,109,11,11,2,4,-8,-0.058790589999999976,-2,8,-0.014742030000000017,-2,-6,2,6,-18,-1,7,159,10,0,6
2020-01-04,0,11,113,110,5,5,3,2,3,0.09359046000000004,10,-9,-0.0721154,0,-1,-2,1,-13,3,5,4,1,3,1
2020-01-14,0,23,123,110,17,12,6,4,13,0.034853560000000006,4,2,0.2516129,4,-6,5,6,-12,4,4,0,1,0,0
2020-02-21,17,1,115,123,8,14,4,6,-8,-0.04936478,-6,-8,0.030172399999999988,4,3,2,-14,0,-2,1,55,6,2,4
2019-12-23,9,17,108,101,14,15,7,9,7,0.02714306999999999,10,5,0.045161300000000015,-1,1,11,15,-3,3,9,34,5,5,3
2020-02-29,23,9,96,98,8,11,0,6,-2,-0.11780299999999999,1,-3,0.05379312000000003,1,-3,-2,-2,-1,11,4,102,8,3,0
2019-12-20,5,14,106,107,10,4,4,4,-1,-0.01111110999999998,6,5,0.08872180999999996,2,-6,-6,11,10,8,-3,85,7,8,0
2020-01-31,2,3,131,118,6,10,2,6,13,0.13188105000000006,5,-6,0.13092975,2,1,3,-1,-1,7,0,13,3,2,0
2020-02-01,29,2,101,105,14,14,5,6,-4,-0.01796333,-11,5,-0.1045296,1,4,-6,-6,-1,-6,1,277,14,12,2
2020-01-08,1,26,111,129,16,14,4,7,-18,-0.14904866,-11,0,0.0028957299999999853,-4,-2,-3,-11,4,1,-3,57,6,3,0
2019-12-13,21,10,102,128,12,21,4,8,-26,-0.09817070000000006,-14,2,-0.1429817,-1,-2,-1,-12,1,-4,-5,122,9,2,2
